2,1
3,2
4,3
5,4
6,4
6,5
7,6
8,6
8,7
9,7
10,7
10,8
10,9
11,7
11,9
13,10
13,12
14,9
14,12
14,13
15,14
16,12
17,12
17,14
17,15
18,17
19,16
19,18
20,13
21,12
21,20
22,8
22,20
23,20
23,21
23,22
24,8
24,10
24,20
25,12
25,21
26,21
26,23
26,25
27,22
27,23
28,3
28,4
28,6
28,8
28,22
29,22
29,27
29,28
30,27
30,29
31,23
31,25
31,26
32,31
33,31
33,32
34,16
34,25
35,19
35,34
36,25
36,31
36,33
36,34
37,33
37,36
38,37
39,36
39,38
40,34
40,39
41,37
41,38
42,23
42,27
42,30
42,32
42,33
43,41
43,42
44,41
44,43
45,38
45,44
46,38
46,45
47,19
47,40
48,18
48,47
49,47
49,48
50,40
50,47
50,49
51,39
51,40
51,50
52,38
52,39
52,46
52,51














